"Recibo,""Fecha"",""Cliente"",""Placa"",""Producto"",""Cantidad"",""Total"""
"63,""2021-03-09 21:50:40"",""FLOTA LA MACARENA "",""SOC941"",""DIESEL"",""5"",""42750"""
"62,""2021-03-09 20:55:36"",""FLOTA LA MACARENA "",""UPR561"",""DIESEL"",""10"",""85500"""
"61,""2021-03-09 20:22:07"",""FLOTA LA MACARENA "",""TFX213"",""CORRIENTE"",""9"",""77760"""
"60,""2021-03-09 20:04:17"",""FLOTA LA MACARENA "",""TFX170"",""CORRIENTE"",""9"",""77760"""
"105,""2021-03-09 19:05:41"",""FLOTA LA MACARENA "",""SOQ516"",""DIESEL"",""14.082"",""120401"""
"103,""2021-03-09 17:11:02"",""FLOTA LA MACARENA "",""UPQ464"",""DIESEL"",""10"",""85500"""
"59,""2021-03-09 14:48:00"",""FLOTA LA MACARENA "",""TFX256"",""CORRIENTE"",""7.878"",""68066"""
"101,""2021-03-09 14:23:54"",""FLOTA LA MACARENA "",""SWP496"",""DIESEL"",""17.446"",""149163"""
"58,""2021-03-09 14:05:05"",""FLOTA LA MACARENA "",""TFX255"",""CORRIENTE"",""6.189"",""53473"""
"57,""2021-03-09 13:36:05"",""FLOTA LA MACARENA "",""TFX257"",""CORRIENTE"",""8.503"",""73466"""
"100,""2021-03-09 13:22:15"",""FLOTA LA MACARENA "",""WCW370"",""DIESEL"",""10"",""85500"""
"99,""2021-03-09 10:59:52"",""FLOTA LA MACARENA "",""SOQ524"",""DIESEL"",""13.629"",""116528"""
"61,""2021-03-09 10:54:56"",""FLOTA LA MACARENA "",""SVC151"",""DIESEL"",""5"",""42750"""
"56,""2021-03-09 10:12:40"",""FLOTA LA MACARENA "",""TFX224"",""CORRIENTE"",""9"",""77760"""
"98,""2021-03-09 09:45:47"",""FLOTA LA MACARENA "",""WYG694"",""DIESEL"",""60"",""513000"""
"55,""2021-03-09 09:35:16"",""FLOTA LA MACARENA "",""TFX187"",""CORRIENTE"",""8.415"",""72706"""
"60,""2021-03-09 08:12:29"",""FLOTA LA MACARENA "",""SQL790"",""DIESEL"",""10"",""85500"""
"97,""2021-03-09 06:56:19"",""FLOTA LA MACARENA "",""SMN285"",""DIESEL"",""13.582"",""116126"""
"59,""2021-03-09 05:49:30"",""FLOTA LA MACARENA "",""TFW646"",""DIESEL"",""8"",""68400"""
"94,""2021-03-09 05:15:34"",""FLOTA LA MACARENA "",""SOD352"",""DIESEL"",""12"",""102600"""
"58,""2021-03-09 04:45:46"",""FLOTA LA MACARENA "",""SYT057"",""DIESEL"",""5"",""42750"""
"54,""2021-03-09 04:34:37"",""FLOTA LA MACARENA "",""TFX171"",""CORRIENTE"",""9"",""77760"""
"40,""2021-03-09 03:43:27"",""FLOTA LA MACARENA "",""SOR370"",""DIESEL"",""30"",""256500"""
